Assay	term	contrast	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	y_position	label	x_offset	x_pos
CCL20	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	-0.4286068274455179	0.1244510581242795	1152.0241209262438	-3.4439789737866424	5.938261518653323e-4	0.002105387208147019	4	Anakinra.No	Anakinra.Yes	-0.1536693153797363	0.27493751206578165	0.47493751206578166	**	-0.15	1.85
CCL20	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.6919892704443367	0.12368295994372006	1138.6007428215128	-5.594863437608667	2.7641459672566107e-8	3.0866296634365484e-7	7	Anakinra.No	Anakinra.Yes	-0.24962494901672902	0.4423643214276076	0.6423643214276076	***	-0.15	2.85
TNFB	Day*Allocation*srf14	Day4 Anakinra No - Day4 Anakinra Yes	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.4547354188747712	0.1199495024612634	1135.7012516712389	3.7910571494168877	0.00015789375831610516	7.052587871452697e-4	4	Anakinra.No	Anakinra.Yes	0.373021316664947	-0.08171410220982422	0.5730213166649469	***	-0.15	1.85
TNFB	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4845573987712697	0.11922347981448547	1122.2679051299317	4.064278274088731	5.153807883964273e-5	2.3020341881707085e-4	7	Anakinra.No	Anakinra.Yes	0.4070156789055637	-0.07754171986570599	0.6070156789055637	***	-0.15	2.85
CSF-1	Day*Allocation*srf14	Day7 Anakinra No - Day7 Anakinra Yes	Day7	Anakinra	No	Day7	Anakinra	Yes	0	-0.3510069989500697	0.12101540059792046	1438.5648434291923	-2.900515118041112	0.003782116970484401	0.009746224500863649	7	Anakinra.No	Anakinra.Yes	-0.3500340526094591	9.729463406105742e-4	0.20097294634061058	**	-0.15	2.85
IL8	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.583180256828892	0.16449436346997665	1348.5123950434106	-3.545290212544781	4.055964692472796e-4	0.0030194403821741924	4	Placebo.No	Placebo.Yes	-0.09960464726992332	0.4835756095589686	0.6835756095589687	**	0.15	2.15
VEGFA	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5433550264182375	0.16424808208513678	983.7390964249661	-3.3081362017767333	9.732299961073465e-4	0.005433867478266017	4	Placebo.No	Placebo.Yes	-0.067274616036789	0.4760804103814485	0.6760804103814485	**	0.15	2.15
MCP-3	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5955462129306668	0.14801262586364802	1090.8303101176487	-4.023617643803543	6.126367197695432e-5	0.003838770932365551	1	Placebo.No	Placebo.Yes	0.17028711585937742	0.7658333287900443	0.9658333287900442	**	0.15	1.15
MCP-3	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.9449175236344735	0.15146537984351496	1140.413165606622	-6.238504961402441	6.214611629968011e-10	2.0818948960392835e-8	4	Placebo.No	Placebo.Yes	-0.2536140772511756	0.6913034463832979	0.8913034463832978	***	0.15	2.15
MCP-3	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8512384209959564	0.15202493678177326	1149.6676576487546	-5.599334155408207	2.6899277234786936e-8	9.011257873653624e-7	7	Placebo.No	Placebo.Yes	-0.40278692552559864	0.44845149547035773	0.6484514954703577	***	0.15	3.15
CD244	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4274787608303562	0.1535972512067519	1106.8499471103573	2.783114655189642	0.0054755769958100865	0.022040587756453366	4	Placebo.No	Placebo.Yes	0.11652309881344876	-0.3109556620169074	0.31652309881344876	*	0.15	2.15
CD244	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.792835023022726	0.15413834848356783	1115.937595681683	5.143658478391232	3.1806860241229435e-7	4.262119272324745e-6	7	Placebo.No	Placebo.Yes	0.3461152996671956	-0.4467197233555304	0.5461152996671956	***	0.15	3.15
OPG	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.44759797128846956	0.1385472195462432	1146.8289380508922	-3.2306528615615693	0.0012701667531550504	0.012288201699650938	1	Placebo.No	Placebo.Yes	0.22312875997103662	0.6707267312595062	0.8707267312595062	*	0.15	1.15
OPG	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7230387212629985	0.1419873322920963	1195.720653518592	-5.092276258670481	4.1070001038127634e-7	4.5861501159242525e-6	4	Placebo.No	Placebo.Yes	-0.14635195043359772	0.5766867708294009	0.776686770829401	***	0.15	2.15
IL6	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4369995237403137	0.14199352312666022	1152.8979906762825	-3.077601809700179	0.0021359815771024027	0.016287968853749966	1	Placebo.No	Placebo.Yes	0.40015218826552734	0.837151712005841	1.037151712005841	*	0.15	1.15
IL6	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.8518511242788512	0.14554139543837746	1201.6375898320568	-5.852981701274994	6.22151235013156e-9	1.3894710915293816e-7	4	Placebo.No	Placebo.Yes	-0.14086418257666725	0.7109869417021839	0.9109869417021839	***	0.15	2.15
IL6	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.8213025863059206	0.14612363803405679	1210.98175593728	-5.620600454216046	2.3599338545690686e-8	9.011257873653624e-7	7	Placebo.No	Placebo.Yes	-0.3139375970052682	0.5073649893006524	0.7073649893006524	***	0.15	3.15
MCP-1	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5717295592104823	0.15607577230885897	1263.2646161297957	-3.6631538050574846	2.5943735695311605e-4	0.004345575728964694	1	Placebo.No	Placebo.Yes	0.050576929544810974	0.6223064887552933	0.8223064887552933	**	0.15	1.15
MCP-1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-1.0729016170108023	0.16038880677839473	1306.6057351944858	-6.6893796304202455	3.314394867960466e-11	2.2206445615335126e-9	4	Placebo.No	Placebo.Yes	-0.10874701176658577	0.9641546052442165	1.1641546052442164	***	0.15	2.15
MCP-1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.4327108093273197	0.16111269517706986	1315.3538324129854	-2.685764823509108	0.00732744968889292	0.024546956457791282	7	Placebo.No	Placebo.Yes	0.1420706696334125	0.5747814789607322	0.7747814789607321	*	0.15	3.15
TRAIL	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.3743939063507251	0.1595680938985487	1248.171279544627	2.346295535677451	0.019116805493214543	0.049074161244196196	4	Placebo.No	Placebo.Yes	0.1736102253398665	-0.20078368101085858	0.37361022533986654	*	0.15	2.15
TRAIL	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5738360579592562	0.16024292677963603	1257.3775684439306	3.5810382991093768	3.552839735442953e-4	0.0019836688522889816	7	Placebo.No	Placebo.Yes	0.45746424014084425	-0.11637181781841195	0.6574642401408443	**	0.15	3.15
CXCL9	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.6012676335908529	0.15923094840194105	1149.6864672135355	-3.7760726769842146	1.674679175727295e-4	0.0014025438096716095	4	Placebo.No	Placebo.Yes	-0.18216464822625011	0.4191029853646028	0.6191029853646028	**	0.15	2.15
CXCL9	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.37545800222162	0.15982665892113057	1158.9729337142012	-2.3491575482842117	0.018983112257230567	0.04891802004747877	7	Placebo.No	Placebo.Yes	-0.02511666713739613	0.3503413350842239	0.5503413350842239	*	0.15	3.15
CST5	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.3819861127599828	0.1606464344163226	927.6426679503525	2.377806355602318	0.017617737387047496	0.04783762985867629	7	Placebo.No	Placebo.Yes	0.2432546146212009	-0.13873149813878188	0.4432546146212009	*	0.15	3.15
CXCL1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.402804569490313	0.16444965744459536	1191.9552009162696	-2.4494095989590106	0.014452196127344717	0.04034571418883733	4	Placebo.No	Placebo.Yes	-0.0359384342776331	0.3668661352126799	0.5668661352126799	*	0.15	2.15
CD6	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.3673348300491196	0.15832030597657618	1122.7363655492973	2.320200354485593	0.020508604699067068	0.049074161244196196	4	Placebo.No	Placebo.Yes	0.14749083026838933	-0.21984399978073027	0.34749083026838934	*	0.15	2.15
CD6	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.8729036890289941	0.15889094756927638	1131.9127673860924	5.493728260689039	4.8581803427831674e-8	1.0849936098882407e-6	7	Placebo.No	Placebo.Yes	0.44771789960458486	-0.42518578942440927	0.6477178996045849	***	0.15	3.15
SCF	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.4024590994332865	0.1564601050075483	1025.3671412434726	2.572279364211536	0.01024293584761757	0.031194395535926234	4	Placebo.No	Placebo.Yes	0.04518088615612999	-0.35727821327715653	0.24518088615612998	*	0.15	2.15
SCF	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.6284530295907264	0.1569439740313768	1033.7466749524551	4.004314491648362	6.664601148268993e-5	4.961425299266917e-4	7	Placebo.No	Placebo.Yes	0.15598543069625243	-0.472467598894474	0.35598543069625244	***	0.15	3.15
CCL11	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.37320927603473075	0.16081038478366386	1091.6827819786192	2.3208033270786856	0.020480982309431173	0.049074161244196196	4	Placebo.No	Placebo.Yes	0.13395913005656865	-0.23925014597816208	0.33395913005656863	*	0.15	2.15
CCL11	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.44076277523249857	0.16136427237477377	1100.6698921082334	2.7314768551046584	0.00640592444773939	0.02327432107154913	7	Placebo.No	Placebo.Yes	0.42662423162569363	-0.014138543606804941	0.6266242316256936	*	0.15	3.15
LIF-R	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4569037948299822	0.1557929295041994	1105.8448242493434	-2.9327633563605744	0.003428839590099027	0.020884750230603162	1	Placebo.No	Placebo.Yes	0.2587640077268889	0.7156678025568711	0.9156678025568712	*	0.15	1.15
CCL19	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.3641510418571019	0.15883330149089375	911.8342694475081	-2.292661793458845	0.022094420175589245	0.04942334907379736	4	Placebo.No	Placebo.Yes	0.055007518270193685	0.4191585601272956	0.6191585601272955	*	0.15	2.15
IL-18R1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4130640264556218	0.1514979704419723	965.5865576187294	-2.726531749901139	0.006516323351277781	0.022040587756453366	4	Placebo.No	Placebo.Yes	-0.26924715624259754	0.1438168702130242	0.3438168702130242	*	0.15	2.15
IL-18R1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.39305532706402707	0.15191627487812223	973.2099408987423	-2.587315462937485	0.00981670595827621	0.029896331782023004	7	Placebo.No	Placebo.Yes	-0.3957474898603241	-0.0026921627962970263	0.19730783720370298	*	0.15	3.15
PD-L1	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5693094094316689	0.15094982116992214	989.2221287482598	-3.7715143020328927	1.7188526562830826e-4	0.003838770932365551	1	Placebo.No	Placebo.Yes	0.17050000599568596	0.7398094154273548	0.9398094154273549	**	0.15	1.15
PD-L1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.8411609272714812	0.15401066947764053	1036.7898978439218	-5.461705543677297	5.9029569962767127e-8	9.887452968763493e-7	4	Placebo.No	Placebo.Yes	-0.18766857545936108	0.6534923518121201	0.85349235181212	***	0.15	2.15
PD-L1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5134113812440442	0.1544964631890422	1045.2924932935612	-3.3231270842480902	9.210049395695113e-4	0.0044076664965112325	7	Placebo.No	Placebo.Yes	-0.32638955056922775	0.18702183067481637	0.3870218306748164	**	0.15	3.15
TRANCE	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	0.46420082490647385	0.14383964368588328	1199.4703440731914	3.2272106146216175	0.0012838419686202474	0.012288201699650938	1	Placebo.No	Placebo.Yes	-0.20810016603075493	-0.6723009909372287	-0.008100166030754918	*	0.15	1.15
TRANCE	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.643736628105712	0.14822356791329597	1255.7544125353913	4.343011284698453	1.5185925529431789e-5	1.2718212630899122e-4	7	Placebo.No	Placebo.Yes	0.45184491868011395	-0.19189170942559802	0.651844918680114	***	0.15	3.15
HGF	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4846109937124439	0.1635603294793837	1261.811499961784	-2.9628883437381908	0.003104782118488992	0.013868026795917497	4	Placebo.No	Placebo.Yes	-0.07349793461846908	0.41111305909397483	0.6111130590939748	*	0.15	2.15
HGF	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5087091585437679	0.16426292927639147	1270.940515564922	-3.0969200463228415	0.0019982408876412674	0.00892547596479766	7	Placebo.No	Placebo.Yes	-0.007950530692889654	0.5007586278508782	0.7007586278508782	**	0.15	3.15
IL-12B	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.3543115394610711	0.13384890790657317	1215.92475999869	2.647100712307502	0.008223433913020602	0.026236670103446685	7	Placebo.No	Placebo.Yes	0.1926670784897418	-0.16164446097132928	0.3926670784897418	*	0.15	3.15
MMP-10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.37695263148514035	0.15367467448453723	1015.4047704433824	-2.452926175048247	0.014337225734980452	0.04034571418883733	4	Placebo.No	Placebo.Yes	-0.016778914096973078	0.3601737173881673	0.5601737173881673	*	0.15	2.15
IL10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.35976927618496024	0.1510719549662966	1240.060811832949	-2.381443175639204	0.01739513359426468	0.046618958032629346	4	Placebo.No	Placebo.Yes	-0.3047108311366338	0.055058445048326465	0.2550584450483265	*	0.15	2.15
CCL23	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5305006674418266	0.15870826083451417	1107.0984262926308	-3.3426153412076136	8.576827762688264e-4	0.0052240678190919425	4	Placebo.No	Placebo.Yes	-0.2653028888472568	0.2651977785945698	0.4651977785945698	**	0.15	2.15
CD5	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.716967875899475	0.15677759471997565	1218.3689128440853	4.573152670061491	5.294284787100502e-6	5.0673868676533376e-5	7	Placebo.No	Placebo.Yes	0.5619200702013745	-0.15504780569810056	0.7619200702013744	***	0.15	3.15
Flt3L	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5573525631808602	0.15550356636729964	1286.040915027858	3.5841786539119798	3.50788204842042e-4	0.0019836688522889816	7	Placebo.No	Placebo.Yes	0.538239869716296	-0.019112693464564262	0.738239869716296	**	0.15	3.15
CXCL10	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.5134732235891837	0.13571778351964223	1134.319781470703	-3.7833894002171755	1.627874501640612e-4	0.003838770932365551	1	Placebo.No	Placebo.Yes	0.7265492081496476	1.2400224317388313	1.4400224317388313	**	0.15	1.15
CXCL10	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.7219527302392651	0.13904340036479904	1183.4773782475845	-5.192283332722914	2.44346246647638e-7	3.274239705078349e-6	4	Placebo.No	Placebo.Yes	-0.2752700164096643	0.4466827138296008	0.6466827138296007	***	0.15	2.15
CXCL10	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.5388673184307141	0.13958712252313057	1192.8255578232674	-3.8604371856825117	1.1925406224293985e-4	7.990022170276971e-4	7	Placebo.No	Placebo.Yes	-0.5779716990209661	-0.03910438059025205	0.16089561940974795	***	0.15	3.15
DNER	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.8088193786409222	0.1564736615501156	1111.1279006500588	5.169044877126956	2.788401646757089e-7	4.262119272324745e-6	7	Placebo.No	Placebo.Yes	0.4986391086744142	-0.3101802699665081	0.6986391086744141	***	0.15	3.15
EN-RAGE	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.44046385368791463	0.16156301775659	1275.8326407622787	-2.72626656647077	0.006493226350157832	0.022040587756453366	4	Placebo.No	Placebo.Yes	-0.0681391441581495	0.3723247095297651	0.5723247095297651	*	0.15	2.15
EN-RAGE	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.38486228272296824	0.162268063432754	1284.8638251060554	-2.3717685081171886	0.01784986188756578	0.04783762985867629	7	Placebo.No	Placebo.Yes	0.07715563220641886	0.4620179149293871	0.6620179149293871	*	0.15	3.15
CD40	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.440071121352273	0.1616587432214158	1188.240343492172	-2.7222228292937416	0.006579279927299512	0.022040587756453366	4	Placebo.No	Placebo.Yes	-0.15514605072307588	0.2849250706291971	0.4849250706291971	*	0.15	2.15
MCP-2	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.4404964729147479	0.14339230082219231	937.2301492929589	-3.0719673956621096	0.002187936114682831	0.016287968853749966	1	Placebo.No	Placebo.Yes	0.6545802798819691	1.0950767527967171	1.295076752796717	*	0.15	1.15
MCP-2	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.4702117072639086	0.14604804852264117	982.1553393144387	-3.2195685736329014	0.0013259399004942937	0.006510220796592226	4	Placebo.No	Placebo.Yes	-0.1425459391062075	0.3276657681577011	0.527665768157701	**	0.15	2.15
CCL25	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.369825851808607	0.16138655465538568	1044.0205629117836	2.291553051605253	0.022129857794237623	0.04942334907379736	4	Placebo.No	Placebo.Yes	0.02761768528221191	-0.3422081665263951	0.22761768528221193	*	0.15	2.15
CCL25	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.5511422558780618	0.161901875142834	1052.597253900845	3.4041746297986353	6.886581340669166e-4	0.0035492380755756474	7	Placebo.No	Placebo.Yes	0.0706439958851402	-0.48049825999292156	0.2706439958851402	**	0.15	3.15
CX3CL1	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.645536541939656	0.16243564338261218	1004.0292518765481	-3.974106473781216	7.569846938684666e-5	7.245424927026751e-4	4	Placebo.No	Placebo.Yes	-0.1553559220328659	0.4901806199067901	0.6901806199067901	***	0.15	2.15
CX3CL1	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.44346631054330865	0.16291905507527854	1012.1598602595328	-2.722003944464324	0.006600180602379603	0.02327432107154913	7	Placebo.No	Placebo.Yes	-0.12927498552399272	0.3141913250193159	0.514191325019316	*	0.15	3.15
TNFRSF9	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.43510828667091817	0.15104527589683772	1093.329482137669	2.8806480976478364	0.0040460674041994955	0.015946265651845072	7	Placebo.No	Placebo.Yes	0.5857029643329424	0.15059467766202425	0.7857029643329425	*	0.15	3.15
TWEAK	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	0.5161517917386764	0.157927005788998	1154.6338930837535	3.2682934065646307	0.0011138599778219287	0.012288201699650938	1	Placebo.No	Placebo.Yes	-0.06208574530998542	-0.5782375370486619	0.1379142546900146	*	0.15	1.15
TWEAK	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.42907096245934184	0.16188001781753963	1203.3272049997943	2.6505492663273738	0.008141533888622645	0.025975370025605585	4	Placebo.No	Placebo.Yes	0.12598762690657078	-0.30308333555277106	0.3259876269065708	*	0.15	2.15
TWEAK	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.500107958735462	0.1625289757229526	1212.6696229539448	3.077038765001187	0.0021375419459364006	0.008950956898608677	7	Placebo.No	Placebo.Yes	0.4588137628043811	-0.04129419593108089	0.6588137628043811	**	0.15	3.15
CCL20	Day*Allocation*srf14	Day1 Placebo No - Day1 Placebo Yes	Day1	Placebo	No	Day1	Placebo	Yes	0	-0.46425263427672997	0.15290195747063717	1109.3085427297726	-3.036276591592254	0.0024510959362224064	0.016422342772690123	1	Placebo.No	Placebo.Yes	0.28214177699815146	0.7463944112748815	0.9463944112748814	*	0.15	1.15
CCL20	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.5026289197900098	0.15654649339831947	1158.805382994332	-3.2107325362511476	0.0013603446440640472	0.006510220796592226	4	Placebo.No	Placebo.Yes	-0.11330816661692425	0.3893207531730855	0.5893207531730855	**	0.15	2.15
CCL20	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	-0.3881033324911879	0.15713934866037887	1168.1170918684593	-2.4698036220704043	0.013660816028716017	0.039794551040172745	7	Placebo.No	Placebo.Yes	-0.020544143844636674	0.36755918864655124	0.5675591886465512	*	0.15	3.15
ADA	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	-0.46025206958414827	0.1669041778849342	1259.1826106384851	-2.7575826765789633	0.005907235305769422	0.022040587756453366	4	Placebo.No	Placebo.Yes	-0.05731798291516228	0.40293408666898595	0.602934086668986	*	0.15	2.15
TNFB	Day*Allocation*srf14	Day4 Placebo No - Day4 Placebo Yes	Day4	Placebo	No	Day4	Placebo	Yes	0	0.519974527662862	0.15087500206105509	1142.3624181729629	3.446392845465826	5.887756869269831e-4	0.003944797102410787	4	Placebo.No	Placebo.Yes	0.2818039135699296	-0.2381706140929324	0.48180391356992963	**	0.15	2.15
TNFB	Day*Allocation*srf14	Day7 Placebo No - Day7 Placebo Yes	Day7	Placebo	No	Day7	Placebo	Yes	0	0.7679565437141768	0.15143386733474112	1151.6241525306743	5.0712337816522	4.6029043110482025e-7	5.139909814003826e-6	7	Placebo.No	Placebo.Yes	0.3805931917194158	-0.38736335199476096	0.5805931917194158	***	0.15	3.15
